,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B (a lot of debris),B3B (less debris than A4B),C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S from McManus Lab,E1S,F2S,H4S,I2S,J2S,K2S,"A4B Eutreptiella bloom, a lot of debris",B3B,C1B,"D3B W/o Lugol's added, data not used in analysis",E1B,F2B,H4B,I2B few cells,J2B,K2B,A4S,"B3S w/o lugol's added, but the sample was still good ",C1S,D3S,E1S,F2S,H4S,I2S,J1S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J1B,K2B,A4S,B3S,C1S,D1S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2,K2B,A4S (a lot of debris),B3S,C1S,D3S,E1S,F2 S,H4S,I2S (large amount of debris),J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2 B,H4B,I2B,J2B,K2B
Phylum,Species,1/9/14,no sample in 2014,1/9/14,1/9/14,1/10/14,1/10/14,1/10/14,1/13/14,1/13/14,1/13/14,2/6/14,2/6/14,2/6/14,2/6/14,2/4/14,2/6/14,2/3/14,2/3/14,2/3/14,2/3/14,3/5/14,3/5/14,3/5/14,3/5/14,3/4/14,3/4/14,3/4/14,3/7/14,3/7/14,3/7/14,4/2/14,4/2/14,4/2/14,4/2/14,4/3/14,4/3/14,4/3/14,4//7/14,4//7/14,4//7/14,5/7/14,5/7/14,5/7/14,5/7/14,5/7/14,5/8/14,5/8/14,5/6/14,5/6/14,5/6/14,6/3/14,6/3/14,6/3/14,6/3/14,6/4/14,6/4/14,6/2/14,6/2/14,6/2/14,6/2/14,7/2/14,7/2/14,7/2/14,7/2/14,7/1/14,7/1/14,6/30/14,6/30/14,6/30/14,6/30/14,7/2/14,7/2/14,7/2/14,7/2/14,7/1/14,7/1/14,6/30/14,6/30/14,6/30/14,6/30/14,8/6/14,8/6/14,8/6/14,8/6/14,8/5/14,8/5/14,8/5/14,8/4/14,8/4/14,8/4/14,8/6/14,8/6/14,8/6/14,8/6/14,8/5/14,8/5/14,8/5/14,8/4/14,8/4/14,8/4/14,9/2/14,9/2/14,9/2/14,9/2/14,9/3/14,9/3/14,9/3/14,9/3/14,9/4/14,9/4/14,9/2/14,9/2/14,9/2/14,9/2/14,9/3/14,9/3/14,9/3/14,9/3/14,9/4/14,9/4/14,10/1/14,10/1/14,10/1/14,10//14,10/3/14,10/3/14,10/3/14,9/30/14,9/30/14,9/30/14,10/1/14,10/1/14,10/1/14,10/1/14,10/3/14,10/3/14,10/3/14,9/30/14,9/30/14,9/30/14,11/10/14,11/10/14,11/10/14,11/10/14,11/10/14,11/12/14,11/12/14,11/6/14,11/6/14,11/6/14,11/10/14,11/10/14,11/10/14,11/10/14,11/10/14,11/12/14,11/12/14,11/6/14,11/6/14,11/6/14,12/10/14,12/10/14,12/10/14,12/10/14,12/12/14,12/12/14,12/15/14,12/15/14,12/15/14,12/15/14,12/10/14,12/10/14,12/10/14,12/10/14,12/12/14,12/12/14,12/15/14,12/15/14,12/15/14,12/15/14
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,1452,1452,2904,,,,1452,,,,,,,,,,,,,,,4400,1452,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,1452,,,,,,,,,,,,,,,1452,,,,1452,,,,,,,,,,,,,,,,,,4400,4400,,,,1452,,4400,,,1452,4400,1452,,1452,,,1452,,4400,1452,2904
Actinocyclus,Actinocyclus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,1452,,,1452,2904,,2904,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,,,,,,,,,1452,,,,1452,,,,,,2904,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,,,,,,4400,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,4400,4400,,1452,2904,,,,,1452
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",1452,,2904,1452,74800,,1452,5852,4400,880,48400,101200,110000,66000,,39600,44000,30800,30800,4400,127600,255200,88000,176000,154000,,198000,224400,356400,52800,545600,96800,66000,52800,22000,13200,13200,8800,30800,44000,325600,602800,290400,642400,127600,4400,2489,,2904,8800,1584,5852,1452,,,,,,5852,2904,,,,,1452,,,,4400,5852,,1452,,1452,,4400,,1452,2904,7304,,,,8800,,,8800,,,,,8800,,,1452,4400,17600,,13200,,,,,,8800,5852,57200,22000,57200,145200,,,13200,,1452,,26400,79200,211200,66000,,4400,5852,17600,,2904,8800,26400,17600,13200,,,13200,22000,,,,22000,13200,22000,,,,,,,,,4400,1452,,,,,,,,,4400,,,,1452,4400,,,,,1452,4400,,,,,,,,,4400,1452
Attheya,Attheya decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacillaria,Bacillaria paxillifer,,,17600,,,,,,,7304,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,
Bacteriastrum,Bacteriastrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,35200,,17600,13200,,,,,4400,,,,,,,,,,1452,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerataulina,Cerataulina pelagica,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,2904,10252,2904,,1452,,,,,,17600,8800,17600,44000,74800,4400,35200,30800,13200,,4400,,8800,,,17600,,1452,4400,4400,,,,,,,1452,,1452,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,,,,
Chaetoceros,Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,22000,35200,26400,19052,,,5852,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,resting spores of Chaetoceros compressus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros constrictus,,,,,,,,,,,,,,,,,,,,,,35200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaetoceros curvisetus,,,,,5852,,,17600,,,44000,,22000,,,,,,,,17600,,8800,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
