,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S NOTE: a lot of debris,I2S NOTE: a lot of debris,J2S ,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S NOTE: little biomass,C1S NOTE: little biomass,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B NOTE: high biomass,E1B NOTE: high biomass ,F2B NOTE: high biomass,H4B NOTE: high biomass,I2B,J2B,K2B,A4S,B3S ,C1S ,D3S ,E1S,F2S,H4S,I2S,J2S,K2S ,A4B NOTE: HIGH BIOMASS,"B3B  NOTE: HIGH BIOMASS, A LOT OF DEBRIS",C1B ,D3B ,"E1B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","F2B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","H4B NOTE: HIGH BIOMASS, A LOT OF DEBRIS",I2B,J2B,K2B ,"A4S NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4S,I2S,J2S,K2S,"A4B NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4B,I2B,J2B,K2B,A4S Note: Thalassiosira BLOOM,B3S Note: Thalassiosira BLOOM,C1S Note: Thalassiosira BLOOM,D3S,E1S Note: VERY LOW BIOMASS,F2S Note: VERY LOW BIOMASS,H4S Note: VERY LOW BIOMASS,"I2S Note: FEW PHYTOPLANKTON, A LOT OF CILIATES (LABOEA)",J2S NOTE: VERY LOW BIOMASS,K2S,A4B Note:LARGE AMOUNT OF DEBRIS,B3B Note:LARGE AMOUNT OF DEBRIS,C1B Note: LARGE AMOUNT OF DEBRIS,D3B,E1B FEW CELLS,F2B ,H4B,I2B ,J2B NOTE: VERY LOW BIOMASS,K2B  VERY LOW BIOMASS,A4S  High biomass.,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S A lot of debris,A4B,B3B,C1B,D3B,E1B,F2B,H4B  A lot of debris,I2B A lot of debris,J2B,K2B Few cells,A4S ,B3S ,C1S,D3S ,E1S,F2S  Few cells,H4S  Very little biomass,I2S  Few cells,J2S Few cells,K2S Few cells,A4B  A lot of debris,B3B  A lot of debris,C1B  A lot of debris,D3B  A lot of debris ,E1B  A lot of debris ,F2B,H4B,I2B,J2B,K2B,A4S,B3S  Prorocentrum triestinum bloom ,C1S,D3S,E1S,F2S  Few cells,H4S  Few cells,I2S  Few cells,J2S  A lot debris,K2S,A4B,B3B,C1B  Lots of debris,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B  Lots of debris,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S Few cells,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B Few cells,A4S ,B3S,C1S,D3S,E1S,F2S few cells,H4S few cells,I2S Lots of debris,J2S Lots of debris,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B Lots of debris,K2B Few cells
Phylum,Species,1/14/15,1/14/15,1/14/15,1/14/15,1/15/15,1/15/15,1/15/15,1/12/15,1/12/15,1/12/15,1/14/15,1/14/15,1/14/15,1/14/15,1/15/15,1/15/15,1/15/15,1/12/15,1/12/15,1/12/15,2/10/15,2/10/15,2/10/15,2/10/15,2/6/15,2/6/15,2/10/15,2/4/15,2/4/15,2/3/15,2/10/15,2/10/15,2/10/15,2/10/15,2/6/15,2/6/15,2/10/15,2/4/2015  note: a lot of debris,2/4/15,2/3/15,3/10/15,3/10/15,3/10/15,3/10/15,3/9/15,3/9/15,3/9/15,3/11/15,3/11/15,3/11/15,3/10/15,3/10/15,3/10/15,3/10/15,3/9/15,3/9/15,3/9/15,3/11/15,3/11/15,3/11/15,4/1/15,4/1/15,4/1/15,4/1/15,3/31/15,3/31/15,3/31/15,4/2/15,4/2/15,4/2/15,4/1/15,4/1/15,4/1/15,4/1/15,3/31/15,3/31/15,3/31/15,4/2/15,4/2/15,4/2/15,5/1/15,5/1/15,5/1/15,5/1/15,5/1/15,5/4/15,5/4/15,4/30/15,4/30/15,4/30/15,5/1/15,5/1/15,5/1/15,5/1/15,5/1/15,5/4/15,5/4/15,4/30/15,4/30/15,4/30/15,5/29/15,5/29/15,5/29/15,5/29/15,6/1/15,6/1/15,6/5/15,5/28/15,5/28/15,5/28/15,5/29/15,5/29/15,5/29/15,5/29/15,6/1/15,6/1/15,6/5/15,5/28/15,5/28/15,5/28/15,7/7/15,7/7/15,7/7/15,7/7/15,7/8/15,7/8/15,7/8/15,7/6/15,7/6/15,7/6/15,7/7/15,7/7/15,7/7/15,7/7/15,7/8/15,7/8/15,7/8/15,7/6/15,7/6/15,7/6/15,8/3/15,8/4/15,8/4/15,8/4/15,8/5/15,8/5/15,8/6/15,8/6/15,8/6/15,8/6/15,8/3/15,8/3/15,8/4/15,8/4/15,8/5/15,8/5/15,8/6/15,8/6/15,8/6/15,8/6/15,9/1/15,9/1/15,9/1/15,9/1/15,9/1/15,9/2/15,9/2/15,9/2/15,8/31/15,8/31/15,No sample,9/1/15,9/1/15,9/1/15,9/1/15,9/2/15,9/2/15,9/2/15,8/31/15,8/31/15,10/8/15,10/8/15,10/8/15,10/8/15,10/9/15,10/9/14,10/13/15,10/13/15,10/7/15,10/7/15,10/8/15,10/8/15,10/8/15,10/8/15,10/9/15,10/9/15,10/13/15,10/13/15,10/7/15,10/7/15,11/9/15,11/9/15,11/9/15,11/9/15,11/9/15,11/10/15,11/10/15,11/6/15,11/6/15,11/6/15,11/9/15,11/9/15,11/9/15,11/9/15,11/9/15,11/10/15,11/10/15,11/6/15,11/6/15,11/6/15,11/30/15,11/30/15,11/30/15,11/30/15,12/14/15,12/14/15,12/14/15,12/16/15,12/16/15,12/16/15,11/30/15,11/30/15,11/30/15,11/30/15,12/14/15,12/14/15,12/14/15,12/16/15,12/16/15,12/16/15
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,,,,,,,,,,,,,,,,,,,,,1452,4400,4400,8800,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,1452,4400,1452,1452,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,4400,4400,,,4400,4400,,17600,,4400,,,,,,,,,,4400,,,4400,4400,,,,13200,8800,,,,,,,,,,,,,5720,5720,,3775,1888,,1888,,4400,1452,,8800,1452,,,1888,,,1452,,,,13200,13200,13200,1452,1452,1452,,,,,,,,,,,,,,,1452,,,,,1452,,1452,,2904,,1452,1452,,8800,,,,1452,,,1452,1452,1452,8800,1452
Actinocyclus,Actinocyclus spp.,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,8800,1452,,,4400,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,1452,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,4400,,,,,,8800,,,,,4400,,,,,,,,,1452,,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,1452,,8800,,,,,1452,2904,1452,,,,,,1452,8800,1452,,1452,8800,,,,,,1452,,,,,1452,,1452,1452,1452,1452,1452,,,1452,,
