"(Note: S: surface water sample, B: bottom water sample","cell abundance (cells/L). Note: In this report, when the phytoplankton cell abundance is 4-7 e^5 cells/L, it is called a minor bloom; when the concentration is 7-13 e^5 cells/L, it is a regular bloom; if it is >13 e^5 cells/L, it is considered as a major bloom. When the total cell abundance is 3-6 e^5 cells/L, it is considered as low cell abundance; when the concentration is < 3 e^5 cells/L, it is considered as very low cell abundance. ",A4S Note: Major Skeletonema spp. bloom,B3S Note: Major Skeletonema spp. bloom,C1S Note: Major Skeletonema spp. bloom,D3S Note: Major Skeletonema spp. bloom,E1S Note: Major Skeletonema spp. bloom,F2S Note: Major Skeletonema spp. bloom,H4S Note: Debris,I2S Note: Debris,J2S Note:  Debris,K2S Note:  Debris,A4B Note: Major Skeletonema spp. bloom,B3B Note: Major Skeletonema spp. bloom,C1B Note: Major Skeletonema spp. bloom,D3B Note: Major Skeletonema spp. bloom,E1B Note: minor Skeletonema spp. bloom,F2B Note: Major Skeletonema spp. bloom,H4B Note: Debris,"I2B Note: Debris, Low cell abundance","J2B Note:  Debris, Low cell abundance",K2B ,A4S Note: Major Skeletonema spp. bloom,B3S Note: Major Skeletonema spp. bloom,C1S Note: Major Skeletonema spp. bloom,D3S Note: Major Skeletonema spp. bloom,E1S Note: Major Skeletonema spp. bloom,F2S Note: Major Skeletonema spp. bloom,"H4S Note: Major Skeletonema spp. bloom, minor Thalassiosira spp. bloom",I2S Note: Major Skeletonema spp. bloom,J2S Note: Major Skeletonema spp. bloom,K2S Note: Major Skeletonema spp. bloom,A4B Note: Major Skeletonema spp. bloom,B3B Note: Major Skeletonema spp. bloom,C1B Note: Major Skeletonema spp. bloom,D3B Note: Major Skeletonema spp. bloom,E1B Note: Major Skeletonema spp. bloom,"F2B Note: Major Skeletonema bloom,  regular Thalassiosira spp. bloom; Large amount of Debris.","H4B Note: Major Skeletonema bloom,  regular Thalassiosira spp. bloom; Large amount of Debris.","I2B Note: Major Skeletonema bloom,  minor Thalassiosira spp. bloom; Large amount of Debris.",J2B Note: Major Skeletonema spp. bloom,K2B Note: Major Skeletonema spp. bloom,"A4S Note: Regular Leptocylindrus minimus, minor Leptocylindrus danicus and Chaetoceros blooms",B3S Note: Major Leptocylindrus minimus bloom,C1S Note: minor Leptocylindrus minimus bloom,D3S  Note: minor Leptocylindrus minimus bloom,E1S  ,F2S  Note: minor Skeletonema spp. bloom,H4S Note: Low cell abundance  ,I2S,J2S Note: Low cell abundance ,K2S  ,A4B Note: Regular Leptocylindrus minimus bloom,"B3B Note: Regular Leptocylindrus minimum, minor Thalassionema nitzschiodes blooms",C1B Note: minor Leptocylindrus minimus bloom,D3B ,E1B  ,F2B  Note: regular Skeletonema spp. bloom,H4B  Note: minor Skeletonema spp. bloom,I2B Note: regular Skeletonema spp. bloom,"J2B Note:Large amount of Debris, regular Skeletonema spp. bloom.",K2B,A4S,B3S ,C1S ,D3S  ,E1S  ,F2S,H4S ,I2S,J2S ,K2S ,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,"A4S Note: Major Guinardia delicatula bloom,  regular Dactyliosolen fragilissimus bloom.","B3S Note: Major Guinardia delicatula, regular Dactyliosolen fragilissimus, minor  Teleaulax spp. blooms ",C1S Note: minor Guinardia delicatula bloom,D3S Note: minor Guinardia delicatula bloom,E1S Note: Low cell abundance,F2S Note: minor Thalassionema nitzschiodes bloom,H4S Note: minor Thalassionema nitzschiodes bloom,I2S Note: minor Thalassionema nitzschiodes bloom,J2S  ,K2S Note: Debris,"A4B Note: Major Guinardia delicatula, regular Ochromonas spp.,  minor Dactyliosolen fragilissimus  blooms","B3B Note: debris, minor Thalassionema nitzschiodes and Ochromonas spp. blooms","C1B Note: debris, minor Ochromonas spp. bloom",D3B,E1B Note: Low cell abundance,F2B Note: minor Thalassionema nitzschiodes bloom,H4B Note: minor Thalassionema nitzschiodes bloom,I2B Note: minor Thalassionema nitzschiodes bloom,J2B Note: debris,K2B Note: Low cell abundance  ,"A4S Note: Major large sized (>15µm) Thalassiosira spp. bloom, major Skeletonema spp. bloom","B3S Note: Major Skeletonema spp. bloom, minor large sized (>15µm) Thalassiosira spp. bloom,","C1S Note: Major Skeletonema spp. bloom, minor large sized (>15µm) Thalassiosira spp. bloom,",D3S Note: minor Skeletonema spp. bloom,E1S Note: Low cell abundance,"F2S Note: Very low cell abundance, debris",H4S Note: Very low cell abundance,I2S Note: Low cell abundance,J2S Note: Low cell abundance,K2S Note: Low cell abundance ,A4B Note: DEBRIS,B3B Note: DEBRIS,C1B Note: Major Skeletonema spp. bloom,"D3B Note: Low cell abundance, debris",E1B Note: Very low cell abundance,F2B Note:  low cell abundance,H4B Note: Low cell abundance,I2B,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance ,"A4S Note:  Major Chaetoceros and Skeletonema bloom, regular small-sized Thalassiosira spp. bloom",B3S Note:  minor-sized Thalassiosirabloom,C1S ,D3S ,"E1S Note:  Regular Cerataulina pelagica, minor Leptocylindrus danicus blooms ","F2S Note:  Regular Dactyliosolen fragilissimus, minor Cerataulina pelagica and Leptocylindrus danicus blooms ",H4S Note: Minor Dactyliosolen fragilissimus  and Leptocylindrus danicus blooms ,I2S Note: Minor Dactyliosolen fragilissimus  and Leptocylindrus danicus blooms ,J2S Note:  minor Dactyliosolen fragilissimus  bloom,K2S Note:  minor Dactyliosolen fragilissimus bloom ,A4B Note:  Large amount of debris,B3B Note:  Debris,C1B Note:  Large amount of debris,D3B Note:  Large amount of debris,E1B Note:  some debris,F2B Note:  some debris,H4B Note:  debris,I2B Note: some debris;  low cell abundance,J2B,K2B Note: Low cell abundance ,A4S Note: debris.,"B3S  Note: debris, Ochromonas spp. bloom",C1S  Note: Ochromonas spp. bloom,"D3S Note: Low cell concentration, debris ",E1S Note: minor Ochromonas spp. bloom,F2S Note: minor Teleaulax spp. bloom,H4S Note:Low cell abundance ,I2S Note: Very low cell abundance  ,J2S Note:  Very low cell abundance  ,K2S,A4B Note: large amount of debris.,"B3B Note: large amount of debris, low cell abundance ","C1B Note: debris, low cell abundance ",D3B Note: Low cell  abundance  debris ,"E1B Note: Low cell concentration, debris ","F2B Note: minor Teleaulax spp. bloom, low cell abundance ",H4B Note: Low cell abundance ,I2B Note: Very low cell abundance  ,J2B Note:  low cell abundance  ,K2B Note: Very low cell abundance  ,"A4S Note: Skeletonema spp., Chaetoceros spp. and Thalassiosira spp.3 (minor, <10µm) blooms",B3S Note: Skeletonema spp. bloom,C1S,D3S,E1S Note: Low cell abundance,F2S,H4S,I2S Note: Regular Chaetoceros spp. bloom,J2S Note: Low cell abundance ,K2S,A4B Note: large amount of debris,B3B Note: Low cell abundance,C1B Note: Low cell abundance,D3B Note: Low cell abundance,E1SB Note: Low cell abundance,F2B Note: Low cell abundance,H4B Note: Low cell abundance,I2B Note: Low cell abundance ,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance,A4S Note: Debris,B3S,C1S Note: Major Chaetoceros spp. bloom,D3S Note: Regular Chaetoceros spp. bloom,E1S Note: Regular Chaetoceros spp. bloom,F2S Note: Major Chaetoceros spp. bloom,H4S Note: Low cell abundance,I2S Note: Very low cell abundance,J2S Note: Very low cell abundance,K2S Note: Very low cell abundance,A4B Note: Large amoumt of debris,B3B Note: Low cell abundance,C1B Note: Low cell abundance ,D3B Note: Large amoumt of debris,E1B  Note: Large amoumt of debris; very low cell abundance,F2B Note: Minor Chaetoceros spp. bloom ,H4B Note: Low cell abundance,I2B Note: Very low cell abundance,J2B Note:  Very low cell abundance,K2B Note: Very low cell abundance,A4S,B3S Note: Low cell abundance,C1S Note: Low cell abundance,D3S Note: Low cell abundance,E1S Note: Low cell abundance,F2S Note: Low cell abundance,H4S Note: Very low cell abundance,I2S Note: debris;  very low cell abundance,J2S Note: Very low cell abundance,K2S Note: Very low cell abundance,A4B Note: Low cell abundance,B3B Note: Low cell abundance,C1B Note: Low cell abundance,D3B Note: Low cell abundance,E1B Note: debris,F2B Note: debris; low cell abundance,H4B Note: debris,I2B Note: Low cell abundance,J2B Note: Very low cell abundance,K2B Note: Very low cell abundance,A4S Note: minor Skeletonema spp. bloom,B3S,C1S Note: debris; low cell abundance,D3S Note: Very low cell abundance,E1S Note: Very Low cell abundance,F2S Note: some debris; very low cell abundance,H4S  Note: debris; low cell abundance,I2S Note: Very low cell abundance,J2S Note: debris; very low cell abundance,K2S Note: Very low cell abundance,A4B Note: Low cell abundance,B3B,C1B Note: debris,D3B Note: Low cell abundance; low cell abundance,E1B Note: Large amount of debris; low cell abundance,FBS Note: debris; low cell abundance,H4B  Note: debris; low cell abundance,I2B  Note: Very low cell abundance,"J2B Note: Large amount of debris, low cell abundance",K2B Note: Very low cell abundance
Phylum,Species,1/11/18,1/11/18,1/11/18,1/11/18,1/11/18,1/11/18,1/10/18,1/10/18,1/10/18,1/10/18,1/11/18,1/11/18,1/11/18,1/11/18,1/11/18,1/11/18,1/10/18,1/10/18,1/10/18,1/10/18,2/8/18,2/8/18,2/8/18,2/8/18,2/6/18,2/6/18,2/6/18,2/9/18,2/9/18,2/9/18,2/8/18,2/8/18,2/8/18,2/8/18,2/6/18,2/6/18,2/6/18,2/9/18,2/9/18,2/9/18,3/18/18,3/18/18,3/18/18,3/18/18,3/18/18,3/8/18,3/6/18,3/6/18,3/6/18,3/6/18,3/18/18,3/18/18,3/18/18,3/18/18,3/18/18,3/8/18,3/6/18,3/6/18,3/6/18,3/6/18,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,April no sample,5/2/18,5/2/18,5/2/18,5/2/18,5/2/18,5/3/18,5/1/18,5/1/18,5/1/18,5/1/18,5/2/18,5/2/18,5/2/18,5/2/18,5/2/18,5/3/18,5/1/18,5/1/18,5/1/18,5/1/18,6/5/18,6/5/18,6/5/18,6/5/18,6/1/18,6/1/18,5/30/18,5/30/18,5/30/18,5/30/18,6/5/18,6/5/18,6/5/18,6/5/18,6/1/18,6/1/18,5/30/18,5/30/18,5/30/18,5/30/18,7/5/18,7/5/18,7/5/18,7/5/18,7/3/18,7/3/18,7/2/18,7/2/18,7/2/18,7/2/18,7/5/18,7/5/18,7/5/18,7/5/18,7/3/18,7/3/18,7/2/18,7/2/18,7/2/18,7/2/18,8/2/18,8/2/18,8/2/18,8/2/18,7/31/18,7/31/18,7/31/18,7/30/18,7/30/18,7/30/18,8/2/18,8/2/18,8/2/18,8/2/18,7/31/18,7/31/18,7/31/18,7/30/18,7/30/18,7/30/18,8/29/18,8/29/18,8/29/18,8/29/18,8/28/18,8/28/18,8/28/18,8/27/18,8/27/18,8/27/18,8/29/18,8/29/18,8/29/18,8/29/18,8/28/18,8/28/18,8/28/18,8/27/18,8/27/18,8/27/18,10/3/18,10/3/18,10/3/18,10/3/18,10/3/18,10/4/18,10/2/18,10/2/18,10/2/18,10/2/18,10/3/18,10/3/18,10/3/18,10/3/18,10/3/18,10/4/18,10/2/18,10/2/18,10/2/18,10/2/18,11/6/18,11/6/18,11/6/18,11/6/18,11/7/18,11/7/18,11/8/18,11/8/18,11/8/18,11/5/18,11/6/18,11/6/18,11/6/18,11/6/18,11/7/18,11/7/18,11/8/18,11/8/18,11/8/18,11/5/18,12/3/18,12/3/18,12/3/18,12/3/18,12/4/18,12/4/18,11/30/18,11/30/18,11/30/18,11/30/18,12/3/18,12/3/18,12/3/18,12/3/18,12/4/18,12/4/18,11/30/18,11/30/18,11/30/18,11/30/18
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,,,,,,,,704,,,,704,,,,,704,,,,,,,,,704,704,,,,704,,,704,,704,,,,,,,,26400,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,704,,,,,,704,,,,,,,,,,,,704,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,352,,,,,,,,2904,,,,,352,,,,,,,176,,,,,,,,176,,
Actinocyclus,Actinocyclus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,352,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amphora spp.,,,,,704,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterionellopsis,"Asterionellopsis glacialis (Asterionella glacialis Castracane 1886 , A. japonica Cleve 1882)",,,,,,,,8800,,13200,,,,,,,,1452,,17600,4400,17600,8800,,2904,1452,2904,13200,140800,162800,8800,,,,8800,,,,176000,198000,61600,44000,17600,,,57200,2904,17600,1452,,26400,,26400,8800,,30800,17600,110000,66000,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,8800,136400,220000,,,,,1452,1452,13200,8800,145200,8800,,4400,,1452,1452,,,,,,,39600,,,,13200,704,,,,,,,,704,2904,,,,,,,,,1452,,,,,,,,,,,1452,,,,4400,,,,198000,8800,8800,,,,,,1452,,17600,1452,4400,,10252,8800,,2904,,,,,,30800,22000,,,,4400,,,1452,,,,,,,,,,2904,5852,,,,,,,,,,8800,,,,,,,,,,1452,,,,,,,,,,
