"(Note: S: surface water sample, B: bottom water sample",,A4S Note: Skeletonema bloom,B3S,C1S Note: low cell abundance,D3S,E1S Note: low cell abundance,F2S Note: low cell abundance,H4S Note: low cell abundance,I2S Note: low cell abundance,J2S Note: low cell abundance,K2S  Note: very low cell abundance,A4B Note: Skeletonema bloom,B3B,C1B,D3B Note: large amount of debris,E1B Note: large amount of debris; low cell abundance,F2B  Note: low cell abundance,H4B Note: debris; low cell abundance,I2B  Note: low cell abundance,J2B  Note: very low cell abundance,K2B  Note: very low cell abundance,A4S Note: Major Skeletonema and Guinardia delicatula blooms,B3S Note: minor Skeletonema and Guinardia delicatula blooms,C1S Note: minor Guinardia delicatula bloom,D3S Note: minor Guinardia delicatula bloom,E1S Note: low cell abundance,F2S Note: minor Guinardia delicatula bloom,H4S NOTE: low cell abundance,I2S NOTE: low cell abundance,J2S NOTE: low cell abundance,K2S NOTE: low cell abundance,A4B Note: Major Skeletonema and Guinardia delicatula blooms,"B3B Note: major Skeletonema bloom, Guinardia delicatula bloom.",C1B Note: regular Skeletonema and Guinardia delicatula blooms,D3B Note: minor Skeletonema and Guinardia delicatula blooms,E1B Note: minor Skeletonema and Guinardia delicatula blooms,F2B Note: minor Guinardia delicatula bloom,H4B Note: minor Guinardia delicatula bloom,I2B Note: minor Guinardia delicatula bloom,J2B NOTE: low cell abundance,K2B NOTE: low cell abundance,A4S Note: major Guinardia delicatula bloom,B3S Note: major Guinardia delicatula bloom,C1S Note: major Guinardia delicatula bloom,D3S Note: major Guinardia delicatula bloom,E1S  Note: major Guinardia delicatula bloom,F2S  Note: major Guinardia delicatula bloom,H4S Note: major Guinardia delicatula bloom,I2S Note: regular Guinardia delicatula bloom,J2S Note: minor Guinardia delicatula bloom,K2S Note: minor Guinardia delicatula bloom,A4B Note: major Guinardia delicatula bloom,B3S Note: major Guinardia delicatula bloom,C1B Note: major Guinardia delicatula bloom,D3B Note: major Guinardia delicatula bloom,E1B  Note: major Guinardia delicatula bloom,F2B  Note: major Guinardia delicatula bloom,H4B Note: major Guinardia delicatula bloom,I2B Note: regular Guinardia delicatula bloom,J2B Note: minor Guinardia delicatula bloom,K2B Note: Low cell abundance,A4S,B3S,C1S,D3S,E1S Note: Very low cell abundance,F2S Note: Very low cell abundance,H4S,I2S,J2S Note: Low cell abundance,K2S Note: Low cell abundance ,A4B,B3B Note: Low cell abundance,C1B Note: Low cell abundance,D3B,E1B Note: Low cell abundance,F2B Note: Low cell abundance,H4B,I2B Note: Low cell abundance,J2B,K2B Note: Very low cell abundance,A4S Note: Major Dactyliosolen fragilissimus bloom,B3S Note: Dactyliosolen fragilissimus bloom,C1S Note: minor Dactyliosolen fragilissimus bloom,"D3S Note: Skeletonema spp. Bloom, minor Dactyliosolen fragilissimus bloom","E1S Note: major Skeletonema spp. Bloom, minor Dactyliosolen fragilissimus bloom","F2S Note: major Skeletonema spp. Bloom, minor Thalassionema nitzschiodes bloom","H4S Note:skeletonema spp. Bloom, minor Thalassionema nitzschiodes bloom",I2S Note: Debris,J2S Note: Low cell abundance  ,K2S Note: Low cell abundance,A4B Note: Dactyliosolen fragilissimus bloom,B3B Note: minor Dactyliosolen fragilissimus bloom,C1B ,"D3B Note: Debris, minor Dactyliosolen fragilissimus bloom",E1B,F2B Note: minor Skeletonema spp. bloom,H4B Note: Low cell abundance,I2B Note: Debris,J2B Note: Very low cell abundance  ,K2B Note: Very low cell abundance,A4S Note: Bloom of medium to large sized Thalassiosira  (15- >20µm),"B3S  Note: minor bloom of Medium to large sized Thalassiosira  (15- >20µm),  Skeletonema spp. ",C1S,D3S,E1S,F2S Note: Minor Skeletonema spp. and Thalassionema nitzschiodes blooms,H4S Note: Very low cell abundance,I2S Note: Low cell abundance,J2S Note: Low cell abundance,K2S,A4B,B3B  Note: Minor Thalassionema nitzschiodes bloom,C1B Note: Minor Thalassionema nitzschiodes bloom,D3B Note: Minor Thalassionema nitzschiodes bloom,E1B Note: Minor Thalassionema nitzschiodes bloom,F2B Note: Minor Thalassionema nitzschiodes bloom,H4B,I2B Note: Very low cell abundance,J2B Note: Low cell abundance,K2B Note: Very low cell abundance ,A4S Note:  Chaetoceros and Small-sized Thalassiosira blooms,B3S Note:  Small-sized Thalassiosira bloom,C1S Note:  Small-sized Thalassiosira bloom,D3S Note:  Small-sized Thalassiosira bloom ,E1S ,F2S,H4S  ,I2S ,J2S Note: no sample,K2S ,A4B Note:  Large amount of debris. minor small-sized Thalassiosira bloom,B3B Note: Large amount of debris.,C1B Note: Large amount of debris; low cell abundance,D3B Note: Large amount of debris.,E1B Note: Low cell abundance,F2B Note: Low cell abundance ,H4B Note: Low cell abundance,I2B Note: Very low cell abundance,J2B Note: no sample,K2B Note: Very low cell abundance,"A4S Note: Blooms of Chaetoceros spp. and Eutreptiella spp. (regular), and Skeletonema spp.,  Heterocapsa triquetra (minor) and  H. circularisquama (minor)","B3S  Note: debris, Eutreptiella spp. bloom (regular)",C1S  Note: Minor Heterocapsa circularisquama Bloom,D3S ,E1S,F2S ,H4S ,I2S ,J2S,K2S ,A4B Note: Debris,B3B  Note: Debris ,"C1B  Note: Debris, very low cell abundance",D3B Note: Large amount of debris,"E1B Note: Large amount of debris, low cell abundance",F2B  Note: Low cell abundance,H4B  Note: Low cell abundance,I2B Note: Very low cell abundance,J2B,K2B  Note: Low cell abundance,A4S Note: Debris,B3S Note: Debris,C1S Note: Low cell abundance,D3S Note: Debris; Low cell abundance,E1S Note: Very low cell abundance,F2S Note: Low cell abundance,H4S Note: Low cell abundance,I2S,J2S Note: minor Skeletonema spp.  bloom,K2S Note: minor Skeletonema spp.  bloom,"A4B Note: Large amount of debris, very low cell abundance","B3B Note: Debris,  low cell abundance",C1B Note: Very low cell abundance,"D3B Note: Large amount of debris,  low cell abundance","E1B Note: Large amount of debris, very low cell abundance",F2S Note: Very low cell abundance,H4B Note: Very low cell abundance,I2B Note: Low cell abundance,J2B Note: minor Skeletonema spp.  bloom,K2B Note: Low cell abundance,A4S Note: Debris,B3S Note: Low cell abundance,C1S Note: Minor Chaetoceros spp. bloom,D3S,E1S Note: Minor Chaetoceros spp. Bloom,F2S Note: low cell abundance ,H4S Note: Minor Skeletonema spp. Bloom,I2S Note: Minor Skeletonema spp. bloom,J2S Note: Minor Skeletonema spp. Bloom,K2S Note: Low cell abundance,A4B Note: Large amount of debris,B3B Note: Low cell abundance,C1B,D3B Note: Debris,E1B Note: Debris; very low cell abundance,F2B ,H4B Note: Low cell abundance,"I2B Note: Large amount of debris, minor Skeletonema spp. Bloom",J2B Note: Minor Skeletonema spp. Bloom,K2B Note: Minor Skeletonema spp. Bloom,A4S,B3S,C1S,D3S,E1S Note: Very low cell abundance,F2S Note: Low cell abundance,H4S Note: minor Teleaulax spp. bloom.,I2S Note: debris,J2S Note: Very low cell abundance ,K2S Note: Very low cell abundance,A4B Note: Very low cell abundance,B3S Note: Very low cell abundance,C1B Note: Very low cell abundance,D3B Note: Debris; low cell abundance,E1B Note: Debris; very low cell abundance,F2B Note: Low cell abundance,H4B Note: Very low cell abundance ,I2B Note: Very low cell abundance ,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance,A4S Note: Skeletonema spp. Bloom,B3S Note: Skeletonema spp. Bloom,C1S Note: minor Skeletonema spp. Bloom,D3S Note: Very low cell abundance,E1S,F2S Note: some debris; low cell abundance,H4S  Note: debris; very low cell abundance,I2S Note: debris; very low cell abundance,J2S Note: Very low cell abundance ,K2S Note: Very low cell abundance,A4B Note: Skeletonema spp. Bloom,B3B Note: Skeletonema spp. Bloom,C1B Note: Low cell abundance ,D3B Note: Very low cell abundance,E1B Note: Low cell abundance,F2B Note: some debris; very low cell abundance,H4B  Note: Large amount of debris; low cell abundance,I2B Note: debris;  very low cell abundance,J2B Note: Very low cell abundance ,K2B Note: Very low cell abundance
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Narrows,E. Narrows,WLIS,WLIS,CLIS,CLIS,ELIS,ELIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phylum,Species,1/3/19,1/3/19,1/3/19,1/7/19,1/7/19,1/7/19,1/2/19,1/2/19,1/2/19,1/2/19,1/3/19,1/3/19,1/3/19,1/7/19,1/7/19,1/7/19,1/2/19,1/2/19,1/2/19,1/2/19,2/7/19,2/7/19,2/7/19,2/7/19,2/6/19,2/6/19,2/4/19,2/4/19,2/4/19,2/4/19,2/7/19,2/7/19,2/7/19,2/7/19,2/6/19,2/6/19,2/4/19,2/4/19,2/4/19,2/4/19,3/5/19,3/5/19,3/5/19,3/5/19,3/7/19,3/7/19,3/8/19,3/8/19,3/8/19,3/8/19,3/5/19,3/5/19,3/5/19,3/5/19,3/7/19,3/7/19,3/8/19,3/8/19,3/8/19,3/8/19,4/3/19,4/3/19,4/3/19,4/3/19,4/3/19,4/4/19,4/4/19,4/4/19,4/4/19,4/2/19,4/3/19,4/3/19,4/3/19,4/3/19,4/3/19,4/4/19,4/4/19,4/4/19,4/4/19,4/2/19,5/7/19,5/7/19,5/7/19,5/7/19,5/8/19,5/8/19,5/8/19,5/6/19,5/6/19,5/6/19,5/7/19,5/7/19,5/7/19,5/7/19,5/8/19,5/8/19,5/8/19,5/6/19,5/6/19,5/6/19,5/30/19,5/30/19,5/30/19,5/30/19,5/31/19,5/31/19,5/29/19,5/29/19,5/29/19,5/29/19,5/30/19,5/30/19,5/30/19,5/30/19,5/31/19,5/31/19,5/29/19,5/29/19,5/29/19,5/29/19,7/2/19,7/2/19,7/2/19,7/2/19,7/2/19,7/3/19,7/1/19,7/1/19,7/1/19,7/1/19,7/2/19,7/2/19,7/2/19,7/2/19,7/2/19,7/3/19,7/1/19,7/1/19,7/1/19,7/1/19,7/30/19,8/2/18,7/30/19,7/30/19,8/1/19,8/1/19,7/29/19,7/29/19,7/29/19,7/29/19,7/30/19,7/30/19,7/30/19,7/30/19,8/1/19,8/1/19,7/29/19,7/29/19,7/29/19,7/29/19,8/28/19,8/28/19,8/28/19,8/29/19,8/29/19,8/29/19,8/29/19,8/27/19,8/27/19,8/27/19,8/28/19,8/28/19,8/28/19,8/29/19,8/29/19,8/29/19,8/29/19,8/27/19,8/27/19,8/27/19,10/2/19,10/2/19,10/2/19,10/2/19,10/2/19,10/2/19,9/30/19,9/30/19,9/30/19,9/30/19,10/2/19,10/2/19,10/2/19,10/2/19,10/2/19,10/2/19,9/30/19,9/30/19,9/30/19,9/30/19,11/5/19,11/5/19,11/5/19,11/5/19,11/6/19,11/6/19,11/4/19,11/4/19,11/4/19,11/4/19,11/5/19,11/5/19,11/5/19,11/5/19,11/6/19,11/6/19,11/4/19,11/4/19,11/4/19,11/4/19,12/6/19,12/6/19,12/6/19,12/5/19,12/16/19,12/16/19,12/16/19,12/4/19,12/4/19,12/4/19,12/6/19,12/6/19,12/6/19,12/5/19,12/16/19,12/16/19,12/16/19,12/4/19,12/4/19,12/4/19
Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achnanthes,Achnanthes spp.,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,1452,352,176,,,704,,704,88,1452,1452,2904,,,,,,,,704,176,,,2904,,176,176,176,2904,352,176,176,,,,,,,,,,,,,,176,,88,,,,,,,
Actinocyclus,Actinocyclus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoptychus,Actinoptychus senarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiprora,Amphiprora spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
