ST,lat,lon,REGION,year,month,diatoms,dinoflagellates,chlorophytes,prorocentrum,Cochlodinium ,Cryptophytes
A4S ,40.8725,-73.734667,W Narrows,2019,1,2420352,27368,475200,0,352,35200
B3S,40.95,-73.62,E Narrows,2019,1,562012,20856,105600,0,0,17600
C1S ,40.956167,-73.580167,E Narrows,2019,1,234608,36256,195052,0,0,17600
D3S,40.994167,-73.410833,E Narrows,2019,1,522016,10956,71104,0,0,17600
E1S ,41.019167,-73.292167,Western,2019,1,325864,704,124652,0,0,0
F2S ,41.080167,-73.165333,Western,2019,1,266860,18304,52800,0,0,22000
H4S ,41.1025,-72.933667,Central,2019,1,261844,22704,176704,0,0,44000
I2S ,41.1375,-72.6565,Central,2019,1,165220,22880,158400,0,0,52800
J2S ,41.181667,-72.458667,Eastern,2019,1,286264,0,23452,0,0,1452
K2S  ,41.234167,-72.267,Eastern,2019,1,49984,0,23452,0,0,1452
A4S ,40.8725,-73.734667,W Narrows,2019,2,3794868,33616,265452,0,0,13200
B3S,40.95,-73.62,E Narrows,2019,2,1762860,8800,83600,0,0,17600
C1S ,40.956167,-73.580167,E Narrows,2019,2,681736,704,24904,0,0,2904
D3S,40.994167,-73.410833,E Narrows,2019,2,1105764,0,44000,0,0,13200
E1S ,41.019167,-73.292167,Western,2019,2,373868,1056,30800,0,0,8800
F2S ,41.080167,-73.165333,Western,2019,2,1347412,0,39600,0,0,0
H4S ,41.1025,-72.933667,Central,2019,2,294888,1452,277200,0,0,13200
I2S ,41.1375,-72.6565,Central,2019,2,414348,3256,146652,0,0,0
J2S ,41.181667,-72.458667,Eastern,2019,2,440088,1628,35200,0,0,13200
K2S  ,41.234167,-72.267,Eastern,2019,2,112244,0,30800,0,0,8800
A4S ,40.8725,-73.734667,W Narrows,2019,3,4046768,13112,2333452,1452,0,0
B3S,40.95,-73.62,E Narrows,2019,3,2996356,3608,1542904,0,0,1452
C1S ,40.956167,-73.580167,E Narrows,2019,3,2112308,2860,90904,0,0,2904
D3S,40.994167,-73.410833,E Narrows,2019,3,2340712,6512,265452,0,0,0
E1S ,41.019167,-73.292167,Western,2019,3,1450416,2904,133452,0,0,1452
F2S ,41.080167,-73.165333,Western,2019,3,2814064,0,299200,0,0,13200
H4S ,41.1025,-72.933667,Central,2019,3,2031656,704,189200,0,0,13200
I2S ,41.1375,-72.6565,Central,2019,3,1476904,2904,83600,0,0,0
J2S ,41.181667,-72.458667,Eastern,2019,3,623964,2904,130108,0,0,1452
K2S  ,41.234167,-72.267,Eastern,2019,3,547272,6204,181852,0,0,5852
A4S ,40.8725,-73.734667,W Narrows,2019,4,67408,17600,603152,0,0,13200
B3S,40.95,-73.62,E Narrows,2019,4,57200,8800,954800,0,0,8800
C1S ,40.956167,-73.580167,E Narrows,2019,4,77704,1452,916652,0,0,13200
D3S,40.994167,-73.410833,E Narrows,2019,4,82060,0,1013452,0,0,0
E1S ,41.019167,-73.292167,Western,2019,4,27016,0,204556,0,0,1452
F2S ,41.080167,-73.165333,Western,2019,4,68904,704,187704,0,0,2904
H4S ,41.1025,-72.933667,Central,2019,4,71060,0,594000,0,0,0
I2S ,41.1375,-72.6565,Central,2019,4,162756,2904,484000,0,0,0
J2S ,41.181667,-72.458667,Eastern,2019,4,98604,3608,356708,0,0,1452
K2S  ,41.234167,-72.267,Eastern,2019,4,77968,352,354904,352,0,1452
A4S ,40.8725,-73.734667,W Narrows,2019,5,2261556,79288,489852,176,0,136400
B3S,40.95,-73.62,E Narrows,2019,5,1135200,142252,985600,0,0,39600
C1S ,40.956167,-73.580167,E Narrows,2019,5,1083016,34012,585156,0,0,5852
D3S,40.994167,-73.410833,E Narrows,2019,5,2338864,3960,384252,0,0,22000
E1S ,41.019167,-73.292167,Western,2019,5,3437852,12716,310156,0,0,0
